Period,Number,Premium,Big/Small
20250425100011273,3,78403,S
20250425100011272,1,42621,S
20250425100011271,9,24299,B
20250425100011270,8,83118,B
20250425100011269,8,56658,B
20250425100011268,1,31741,S
20250425100011267,4,65224,S
20250425100011266,2,67482,S
20250425100011265,0,57260,S
20250425100011264,5,54805,B
20250425100011263,3,31193,S
20250425100011262,3,35413,S
20250425100011261,3,43363,S
20250425100011260,8,60278,B
20250425100011259,4,91954,S
20250425100011258,2,12232,S
20250425100011257,0,62200,S
20250425100011256,5,77725,B
20250425100011255,2,24502,S
20250425100011254,5,34225,B
20250425100011253,9,70329,B
20250425100011252,0,94190,S
20250425100011251,7,10057,B
20250425100011250,5,92275,B
20250425100011249,2,18272,S
20250425100011248,3,62543,S
20250425100011247,3,59443,S
20250425100011246,9,46619,B
20250425100011245,3,20043,S
20250425100011244,4,23144,S
20250425100011243,8,99558,B
20250425100011242,0,37370,S
20250425100011241,0,85210,S
20250425100011240,9,31769,B
20250425100011239,7,77407,B
20250425100011238,3,74623,S
20250425100011237,8,17028,B
20250425100011236,2,15062,S
20250425100011235,3,18813,S
20250425100011234,5,87025,B
20250425100011233,8,51298,B
20250425100011232,4,84124,S
20250425100011231,7,86287,B
20250425100011230,4,51954,S
20250425100011229,4,27284,S
20250425100011228,1,43591,S
20250425100011227,1,58871,S
20250425100011226,1,71281,S
20250425100011225,9,86139,B
20250425100011224,0,26310,S
20250425100011223,5,13145,B
20250425100011222,8,62498,B
20250425100011221,5,71135,B
20250425100011220,3,10513,S
20250425100011219,6,69146,B
20250425100011218,1,50351,S
20250425100011217,1,56591,S
20250425100011216,7,78047,B
20250425100011215,6,72276,B
20250425100011214,2,85102,S
20250425100011213,7,86787,B
20250425100011212,0,54920,S
20250425100011211,7,67677,B
20250425100011210,0,72390,S
20250425100011209,4,11674,S
20250425100011208,3,66243,S
20250425100011207,0,96980,S
20250425100011206,1,22941,S
20250425100011205,6,11866,B
20250425100011204,5,53215,B
20250425100011203,9,29099,B
20250425100011202,2,12422,S
20250425100011201,6,89876,B
20250425100011200,6,15876,B
20250425100011199,9,44309,B
20250425100011198,5,39945,B
20250425100011197,3,59923,S
20250425100011196,3,60493,S
20250425100011195,8,78268,B
20250425100011194,9,31429,B
20250425100011193,1,12021,S
20250425100011192,3,59393,S
20250425100011191,8,91158,B
20250425100011190,3,33713,S
20250425100011189,7,73577,B
20250425100011188,9,24989,B
20250425100011187,2,65092,S
20250425100011186,7,97377,B
20250425100011185,2,13552,S
20250425100011184,5,33145,B
20250425100011183,6,53756,B
20250425100011182,6,71656,B
20250425100011181,6,57126,B
20250425100011180,8,66418,B
20250425100011179,6,93626,B
20250425100011178,2,83292,S
20250425100011177,8,61538,B
20250425100011176,4,87844,S
20250425100011175,6,71976,B
20250425100011174,7,27727,B
20250425100011173,6,15646,B
20250425100011172,4,26984,S
20250425100011171,7,93757,B
20250425100011170,1,81261,S
20250425100011169,5,13115,B
20250425100011168,0,24970,S
20250425100011167,4,37964,S
20250425100011166,4,89144,S
20250425100011165,5,58765,B
20250425100011164,2,53592,S
20250425100011163,4,71144,S
20250425100011162,7,67047,B
20250425100011161,7,96077,B
20250425100011160,0,93230,S
20250425100011159,6,23646,B
20250425100011158,5,64155,B
20250425100011157,1,48231,S
20250425100011156,9,10379,B
20250425100011155,1,79091,S
20250425100011154,5,28875,B
20250425100011153,8,17328,B
20250425100011152,6,30756,B
20250425100011151,7,92697,B
20250425100011150,4,14594,S
20250425100011149,5,16325,B
20250425100011148,9,16989,B
20250425100011147,1,63601,S
20250425100011146,8,46878,B
20250425100011145,2,18792,S
20250425100011144,3,55013,S
20250425100011143,4,56934,S
20250425100011142,0,57570,S
20250425100011141,1,28511,S
20250425100011140,5,99165,B
20250425100011139,5,89435,B
20250425100011138,4,72804,S
20250425100011137,3,93093,S
20250425100011136,3,54423,S
20250425100011135,0,26120,S
20250425100011134,2,79082,S
20250425100011133,1,99461,S
20250425100011132,6,16336,B
20250425100011131,7,34487,B
20250425100011130,8,10638,B
20250425100011129,7,21347,B
20250425100011128,9,62389,B
20250425100011127,3,43643,S
20250425100011126,9,98039,B
20250425100011125,7,81887,B
20250425100011124,0,97190,S
20250425100011123,5,69445,B
20250425100011122,8,97498,B
20250425100011121,4,70444,S
20250425100011120,8,95798,B
20250425100011119,9,33929,B
20250425100011118,0,60130,S
20250425100011117,8,82278,B
20250425100011116,5,18055,B
20250425100011115,7,44447,B
20250425100011114,7,20337,B
20250425100011113,4,43444,S
20250425100011112,5,17725,B
20250425100011111,2,61232,S
20250425100011110,9,59349,B
20250425100011109,8,12568,B
20250425100011108,8,98768,B
20250425100011107,7,23867,B
20250425100011106,1,83251,S
20250425100011105,4,22404,S
20250425100011104,8,24488,B
20250425100011103,0,54730,S
20250425100011102,5,10135,B
20250425100011101,0,75250,S
20250425100011100,6,54846,B
20250425100011099,9,79229,B
20250425100011098,6,21496,B
20250425100011097,9,20879,B
20250425100011096,4,84204,S
20250425100011095,5,67675,B
20250425100011094,3,37803,S
20250425100011093,9,44849,B
20250425100011092,2,18822,S
20250425100011091,3,83643,S
20250425100011090,3,44053,S
20250425100011089,2,34102,S
20250425100011088,6,79756,B
20250425100011087,1,69141,S
20250425100011086,1,95401,S
20250425100011085,8,18878,B
20250425100011084,0,39730,S
20250425100011083,1,31581,S
20250425100011082,2,93622,S
20250425100011081,0,70280,S
20250425100011080,5,30065,B
20250425100011079,4,67534,S
20250425100011078,0,20750,S
20250425100011077,5,60165,B
20250425100011076,9,44759,B
20250425100011075,3,85283,S
20250425100011074,1,27051,S
20250425100011073,5,49685,B
20250425100011072,7,82057,B
20250425100011071,4,64404,S
20250425100011070,7,38147,B
20250425100011069,2,89152,S
20250425100011068,2,23452,S
20250425100011067,2,50572,S
20250425100011066,9,66449,B
20250425100011065,4,40494,S
20250425100011064,2,22192,S
20250425100011063,2,25312,S
20250425100011062,0,10570,S
20250425100011061,4,24434,S
20250425100011060,9,81379,B
20250425100011059,8,93398,B
20250425100011058,3,67003,S
20250425100011057,2,14522,S
20250425100011056,0,22490,S
20250425100011055,0,60350,S
20250425100011054,8,49468,B
20250425100011053,2,75562,S
20250425100011052,0,98740,S
20250425100011051,2,85252,S
20250425100011050,1,97771,S
20250425100011049,3,59593,S
20250425100011048,8,69138,B
20250425100011047,1,51741,S
20250425100011046,4,89674,S
20250425100011045,6,11856,B
20250425100011044,9,14739,B
20250425100011043,8,50428,B
20250425100011042,3,53903,S
20250425100011041,8,41548,B
20250425100011040,4,19074,S
20250425100011039,3,88163,S
20250425100011038,2,21792,S
20250425100011037,2,77442,S
20250425100011036,7,31547,B
20250425100011035,6,59276,B
20250425100011034,4,74814,S
20250425100011033,7,28787,B
20250425100011032,6,52336,B
20250425100011031,9,10749,B
20250425100011030,5,83475,B
20250425100011029,9,51609,B
20250425100011028,3,24833,S
20250425100011027,0,90850,S
20250425100011026,7,10697,B
20250425100011025,0,13710,S
20250425100011024,9,64279,B
20250425100011023,4,32884,S
20250425100011022,0,61930,S
20250425100011021,3,26763,S
20250425100011020,0,31720,S
20250425100011019,3,30933,S
20250425100011018,5,74895,B
20250425100011017,3,65403,S
20250425100011016,6,70046,B
20250425100011015,3,80643,S
20250425100011014,1,64181,S
20250425100011013,5,14495,B
20250425100011012,2,95652,S
20250425100011011,2,80332,S
20250425100011010,3,43213,S
20250425100011009,2,92372,S
20250425100011008,9,57339,B
20250425100011007,9,98729,B
20250425100011006,3,24663,S
20250425100011005,2,26892,S
20250425100011004,0,79740,S
20250425100011003,0,69500,S
20250425100011002,6,10676,B
20250425100011001,0,18260,S
20250425100011000,7,55657,B
20250425100010999,5,34165,B
20250425100010998,4,63744,S
20250425100010997,3,99193,S
20250425100010996,3,26793,S
20250425100010995,2,14842,S
20250425100010994,4,62284,S
20250425100010993,1,89671,S
20250425100010992,4,84384,S
20250425100010991,2,65692,S
20250425100010990,9,60479,B
20250425100010989,9,42079,B
20250425100010988,6,36786,B
20250425100010987,5,55935,B
20250425100010986,8,78708,B
20250425100010985,9,38239,B
20250425100010984,8,62008,B
20250425100010983,9,22229,B
20250425100010982,6,88666,B
20250425100010981,2,49982,S
20250425100010980,5,95125,B
20250425100010979,9,13689,B
20250425100010978,9,72459,B
20250425100010977,5,27445,B
20250425100010976,9,62549,B
20250425100010975,1,38081,S
20250425100010974,5,35485,B
20250425100010973,3,13183,S
20250425100010972,7,46377,B
20250425100010971,5,92725,B
20250425100010970,4,41724,S
20250425100010969,0,65570,S
20250425100010968,3,48833,S
20250425100010967,1,66571,S
20250425100010966,3,71503,S
20250425100010965,9,80879,B
20250425100010964,6,18656,B
20250425100010963,7,70787,B
20250425100010962,6,17946,B
20250425100010961,7,73507,B
20250425100010960,0,96680,S
20250425100010959,5,41325,B
20250425100010958,1,19261,S
20250425100010957,2,64282,S
20250425100010956,0,63910,S
20250425100010955,9,22229,B
20250425100010954,1,20401,S
20250425100010953,0,48640,S
20250425100010952,9,97299,B
20250425100010951,1,75151,S
20250425100010950,2,45372,S
20250425100010949,9,24649,B
20250425100010948,0,43530,S
20250425100010947,6,40656,B
20250425100010946,7,16347,B
20250425100010945,3,62783,S
20250425100010944,9,70239,B
20250425100010943,1,29501,S
20250425100010942,9,77559,B
20250425100010941,1,93061,S
20250425100010940,0,86560,S
20250425100010939,0,34270,S
20250425100010938,9,52189,B
20250425100010937,0,11170,S
20250425100010936,3,92963,S
20250425100010935,0,80350,S
20250425100010934,6,83476,B
20250425100010933,8,15028,B
20250425100010932,8,81998,B
20250425100010931,3,31503,S
20250425100010930,3,23503,S
20250425100010929,2,93942,S
20250425100010928,7,78467,B
20250425100010927,8,24578,B
20250425100010926,4,26314,S
20250425100010925,9,25349,B
20250425100010924,7,70237,B
20250425100010923,1,78261,S
20250425100010922,1,60101,S
20250425100010921,8,81788,B
20250425100010920,5,95445,B
20250425100010919,0,46010,S
20250425100010918,5,75475,B
20250425100010917,5,73615,B
20250425100010916,5,17955,B
20250425100010915,3,54913,S
20250425100010914,6,96236,B
20250425100010913,2,20662,S
20250425100010912,1,61941,S
20250425100010911,3,87513,S
20250425100010910,4,99564,S
20250425100010909,8,13698,B
20250425100010908,2,63172,S
20250425100010907,7,85307,B
20250425100010906,8,75978,B
20250425100010905,3,23993,S
20250425100010904,0,21000,S
20250425100010903,9,79609,B
20250425100010902,1,62201,S
20250425100010901,6,91196,B
20250425100010900,2,68672,S
20250425100010899,7,30907,B
20250425100010898,1,64151,S
20250425100010897,4,68554,S
20250425100010896,0,32900,S
20250425100010895,5,50045,B
20250425100010894,8,80298,B
20250425100010893,4,93374,S
20250425100010892,3,70823,S
20250425100010891,9,31509,B
20250425100010890,1,26711,S
20250425100010889,7,55167,B
20250425100010888,1,17971,S
20250425100010887,0,66640,S
20250425100010886,4,46574,S
20250425100010885,9,11959,B
20250425100010884,0,42700,S
20250425100010883,9,61079,B
20250425100010882,5,43725,B
20250425100010881,8,91518,B
20250425100010880,5,29025,B
20250425100010879,3,73083,S
20250425100010878,0,40380,S
20250425100010877,9,58969,B
20250425100010876,9,61249,B
20250425100010875,7,44317,B
20250425100010874,8,33548,B
20250425100010873,2,64952,S
20250425100010872,3,53423,S
20250425100010871,0,99520,S
20250425100010870,4,91224,S
20250425100010869,4,16334,S
20250425100010868,8,27768,B
20250425100010867,1,35041,S
20250425100010866,1,28831,S
20250425100010865,2,73932,S
20250425100010864,3,67473,S
20250425100010863,6,25596,B
20250425100010862,6,88306,B
20250425100010861,5,10085,B
20250425100010860,0,12350,S
20250425100010859,6,94746,B
20250425100010858,3,27553,S
20250425100010857,6,88266,B
20250425100010856,2,27682,S
20250425100010855,6,65916,B
20250425100010854,0,91870,S
20250425100010853,3,46613,S
20250425100010852,6,66506,B
20250425100010851,1,60551,S
20250425100010850,0,13590,S
20250425100010849,6,10656,B
20250425100010848,1,27561,S
20250425100010847,0,46460,S
20250425100010846,5,58425,B
20250425100010845,6,33376,B
20250425100010844,1,91001,S
20250425100010843,9,43859,B
20250425100010842,1,47141,S
20250425100010841,2,48182,S
20250425100010840,7,12897,B
20250425100010839,7,32747,B
20250425100010838,2,87312,S
20250425100010837,8,33408,B
20250425100010836,8,19558,B
20250425100010835,3,29913,S
20250425100010834,1,45531,S
20250425100010833,1,94101,S
20250425100010832,1,65671,S
20250425100010831,9,17699,B
20250425100010830,8,86948,B
20250425100010829,5,41445,B
20250425100010828,1,33011,S
20250425100010827,6,14646,B
20250425100010826,2,66782,S
20250425100010825,1,85581,S
20250425100010824,8,63428,B
20250425100010823,5,86255,B
20250425100010822,9,87709,B
20250425100010821,2,72302,S
20250425100010820,7,88737,B
20250425100010819,3,91493,S
20250425100010818,3,85273,S
20250425100010817,0,47800,S
20250425100010816,6,62446,B
20250425100010815,9,19249,B
20250425100010814,3,38323,S
20250425100010813,7,39857,B
20250425100010812,0,51700,S
20250425100010811,6,86816,B
20250425100010810,3,24093,S
20250425100010809,5,62495,B
20250425100010808,5,52695,B
20250425100010807,8,78408,B
20250425100010806,5,90795,B
20250425100010805,8,17448,B
20250425100010804,9,52429,B
20250425100010803,0,62980,S
20250425100010802,8,94718,B
20250425100010801,1,51441,S
20250425100010800,1,51801,S
20250425100010799,8,16808,B
20250425100010798,2,96592,S
20250425100010797,6,82876,B
20250425100010796,4,41634,S
20250425100010795,8,47498,B
20250425100010794,2,78952,S
20250425100010793,3,76793,S
20250425100010792,8,40618,B
20250425100010791,3,16883,S
20250425100010790,3,49733,S
20250425100010789,2,25912,S
20250425100010788,8,75528,B
20250425100010787,1,51071,S
20250425100010786,7,97347,B
20250425100010785,1,40291,S
20250425100010784,8,45528,B
20250425100010783,9,28049,B
20250425100010782,5,29365,B
20250425100010781,7,44357,B
20250425100010780,8,45308,B
20250425100010779,2,53882,S
20250425100010778,4,17934,S
20250425100010777,3,59113,S
20250425100010776,6,39626,B
20250425100010775,2,92612,S
20250425100010774,1,93921,S
20250425100010773,8,81068,B
20250425100010772,5,85535,B
20250425100010771,1,19161,S
20250425100010770,2,29292,S
20250425100010769,3,45103,S
20250425100010768,8,57378,B
20250425100010767,3,67563,S
20250425100010766,3,26183,S
20250425100010765,1,94331,S
20250425100010764,8,61928,B
20250425100010763,7,41787,B
20250425100010762,4,18574,S
20250425100010761,6,60736,B
20250425100010760,6,42166,B
20250425100010759,5,49735,B
20250425100010758,2,12212,S
20250425100010757,9,59859,B
20250425100010756,4,52974,S
20250425100010755,3,66253,S
20250425100010754,7,88797,B
20250425100010753,4,61894,S
20250425100010752,9,73859,B
20250425100010751,6,31196,B
20250425100010750,3,47003,S
20250425100010749,5,11995,B
20250425100010748,1,55181,S
20250425100010747,2,93532,S
20250425100010746,1,73091,S
20250425100010745,1,97531,S
20250425100010744,6,97296,B
20250425100010743,3,69233,S
20250425100010742,4,24774,S
20250425100010741,6,24336,B
20250425100010740,1,19261,S
20250425100010739,1,68931,S
20250425100010738,3,46583,S
20250425100010737,1,74871,S
20250425100010736,9,63489,B
20250425100010735,5,65005,B
20250425100010734,2,80992,S
20250425100010733,0,50240,S
20250425100010732,5,98145,B
20250425100010731,8,16648,B
20250425100010730,1,58021,S
20250425100010729,8,81258,B
20250425100010728,7,30537,B
20250425100010727,4,58764,S
20250425100010726,2,23962,S
20250425100010725,7,84567,B
20250425100010724,9,52149,B
20250425100010723,8,54728,B
20250425100010722,3,16463,S
20250425100010721,2,45982,S
20250425100010720,6,50656,B
20250425100010719,5,80245,B
20250425100010718,1,41101,S
20250425100010717,9,54989,B
20250425100010716,5,74225,B
20250425100010715,5,52725,B
20250425100010714,9,64099,B
20250425100010713,1,51191,S
20250425100010712,0,57940,S
20250425100010711,7,20507,B
20250425100010710,9,47229,B
20250425100010709,7,30217,B
20250425100010708,5,75885,B
20250425100010707,4,84494,S
20250425100010706,6,59346,B
20250425100010705,6,55296,B
20250425100010704,3,21413,S
20250425100010703,1,45901,S
20250425100010702,5,84495,B
20250425100010701,1,78161,S
20250425100010700,6,69216,B
20250425100010699,1,57071,S
20250425100010698,9,53629,B
20250425100010697,7,83957,B
20250425100010696,9,74379,B
20250425100010695,4,59464,S
20250425100010694,1,82631,S
20250425100010693,4,85204,S
20250425100010692,2,67332,S
20250425100010691,9,60959,B
20250425100010690,0,40980,S
20250425100010689,5,78305,B
20250425100010688,8,56318,B
20250425100010687,0,54420,S
20250425100010686,0,68690,S
20250425100010685,2,91932,S
20250425100010684,7,69697,B
20250425100010683,3,47143,S
20250425100010682,0,97270,S
20250425100010681,6,95666,B
20250425100010680,5,73825,B
20250425100010679,7,52987,B
20250425100010678,6,90866,B
20250425100010677,6,43136,B
20250425100010676,1,43961,S
20250425100010675,5,83795,B
20250425100010674,1,39831,S
20250425100010673,2,74192,S
20250425100010672,3,62383,S
20250425100010671,0,86820,S
20250425100010670,4,29614,S
20250425100010669,8,28768,B
20250425100010668,5,42955,B
20250425100010667,8,63998,B
20250425100010666,1,16351,S
20250425100010665,0,35040,S
20250425100010664,9,18139,B
20250425100010663,6,88806,B
20250425100010662,0,43810,S
20250425100010661,6,52856,B
20250425100010660,8,23058,B
20250425100010659,6,67016,B
20250425100010658,8,20208,B
20250425100010657,7,32217,B
20250425100010656,0,57250,S
20250425100010655,6,15206,B
20250425100010654,8,63578,B
20250425100010653,2,26822,S
20250425100010652,5,99265,B
20250425100010651,1,60691,S
20250425100010650,2,64402,S
20250425100010649,5,98695,B
20250425100010648,7,31707,B
20250425100010647,5,31285,B
20250425100010646,8,62548,B
20250425100010645,4,55714,S
20250425100010644,8,54468,B
20250425100010643,1,51521,S
20250425100010642,7,49837,B
20250425100010641,9,59529,B
20250425100010640,6,68256,B
20250425100010639,5,46815,B
20250425100010638,2,38692,S
20250425100010637,9,23039,B
20250425100010636,4,80674,S
20250425100010635,5,51375,B
20250425100010634,4,95534,S
20250425100010633,2,25032,S
20250425100010632,9,78539,B
20250425100010631,8,83238,B
20250425100010630,5,84765,B
20250425100010629,4,61574,S
20250425100010628,1,94071,S
20250425100010627,4,92714,S
20250425100010626,3,80663,S
20250425100010625,3,56523,S
20250425100010624,3,21663,S
20250425100010623,2,31422,S
20250425100010622,7,64267,B
20250425100010621,2,37482,S
20250425100010620,7,30077,B
20250425100010619,4,67784,S
20250425100010618,1,51911,S
20250425100010617,5,70355,B
20250425100010616,8,26518,B
20250425100010615,5,61685,B
20250425100010614,8,51298,B
20250425100010613,8,29758,B
20250425100010612,8,78028,B
20250425100010611,8,34428,B
20250425100010610,6,30816,B
20250425100010609,0,18180,S
20250425100010608,7,80977,B
20250425100010607,5,72275,B
20250425100010606,4,17434,S
20250425100010605,4,72264,S
20250425100010604,9,78879,B
20250425100010603,1,14801,S
20250425100010602,1,72421,S
20250425100010601,5,41275,B
20250425100010600,6,51946,B
20250425100010599,0,49800,S
20250425100010598,0,78690,S
20250425100010597,4,40864,S
20250425100010596,7,34677,B
20250425100010595,8,85668,B
20250425100010594,6,20376,B
20250425100010593,8,88448,B
20250425100010592,9,36339,B
20250425100010591,4,77344,S
20250425100010590,9,66239,B
20250425100010589,6,44276,B
20250425100010588,0,67120,S
20250425100010587,0,71490,S
20250425100010586,7,72267,B
20250425100010585,6,67446,B
20250425100010584,0,34930,S
20250425100010583,1,98761,S
20250425100010582,6,75756,B
20250425100010581,0,63930,S
20250425100010580,3,53203,S
20250425100010579,8,36368,B
20250425100010578,6,10346,B
20250425100010577,7,58327,B
20250425100010576,6,18356,B
20250425100010575,5,56025,B
20250425100010574,2,47982,S
20250425100010573,1,82001,S
20250425100010572,8,18518,B
20250425100010571,4,53014,S
20250425100010570,2,48722,S
20250425100010569,9,81169,B
20250425100010568,6,12016,B
20250425100010567,1,68681,S
20250425100010566,3,70843,S
20250425100010565,4,85724,S
20250425100010564,2,99242,S
20250425100010563,5,52105,B
20250425100010562,7,75317,B
20250425100010561,3,22953,S
20250425100010560,3,14863,S
20250425100010559,8,23138,B
20250425100010558,9,33219,B
20250425100010557,9,33519,B
20250425100010556,2,65002,S
20250425100010555,0,41330,S
20250425100010554,7,44767,B
20250425100010553,0,82640,S
20250425100010552,4,18144,S
20250425100010551,1,30911,S
20250425100010550,4,97994,S
20250425100010549,0,37250,S
20250425100010548,1,72181,S
20250425100010547,6,87946,B
20250425100010546,0,78500,S
20250425100010545,6,31296,B
20250425100010544,1,70091,S
20250425100010543,0,72070,S
20250425100010542,6,11836,B
20250425100010541,5,26485,B
20250425100010540,7,35407,B
20250425100010539,5,98825,B
20250425100010538,0,19470,S
20250425100010537,4,93304,S
20250425100010536,3,60913,S
20250425100010535,7,48807,B
20250425100010534,6,69806,B
20250425100010533,7,10367,B
20250425100010532,5,30095,B
20250425100010531,2,49972,S
20250425100010530,5,24305,B
20250425100010529,8,64128,B
20250425100010528,5,27645,B
20250425100010527,6,92796,B
20250425100010526,2,40452,S
20250425100010525,1,54561,S
20250425100010524,1,78521,S
20250425100010523,4,80034,S
20250425100010522,5,34735,B
20250425100010521,7,62857,B
20250425100010520,0,83700,S
20250425100010519,4,13244,S
20250425100010518,2,89982,S
20250425100010517,9,95799,B
20250425100010516,2,34132,S
20250425100010515,0,95190,S
20250425100010514,3,59293,S
20250425100010513,7,71547,B
20250425100010512,7,60357,B
20250425100010511,8,23468,B
20250425100010510,9,80949,B
20250425100010509,0,40250,S
20250425100010508,8,16828,B
20250425100010507,1,70791,S
20250425100010506,1,29781,S
20250425100010505,0,29900,S
20250425100010504,5,50155,B
20250425100010503,2,22522,S
20250425100010502,8,65848,B
20250425100010501,3,62853,S
20250425100010500,2,64562,S
20250425100010499,8,84558,B
20250425100010498,1,96831,S
20250425100010497,4,15444,S
20250425100010496,0,55150,S
20250425100010495,1,13691,S
20250425100010494,3,13043,S
20250425100010493,5,31415,B
20250425100010492,2,24172,S
20250425100010491,5,54075,B
20250425100010490,4,23854,S
20250425100010489,2,55752,S
20250425100010488,0,94280,S
20250425100010487,7,68887,B
20250425100010486,7,92047,B
20250425100010485,0,70980,S
20250425100010484,7,50427,B
20250425100010483,4,22304,S
20250425100010482,8,47828,B
20250425100010481,6,71836,B
20250425100010480,8,62848,B
20250425100010479,5,77525,B
20250425100010478,9,16609,B
20250425100010477,9,85849,B
20250425100010476,8,94118,B
20250425100010475,8,14178,B
20250425100010474,1,51411,S
20250425100010473,0,30830,S
20250425100010472,2,86772,S
20250425100010471,9,23119,B
20250425100010470,2,69972,S
20250425100010469,3,76983,S
20250425100010468,2,19852,S
20250425100010467,2,21282,S
20250425100010466,2,93752,S
20250425100010465,6,47466,B
20250425100010464,7,90937,B
20250425100010463,4,33194,S
20250425100010462,6,20426,B
20250425100010461,2,33602,S
20250425100010460,6,42136,B
20250425100010459,8,92158,B
20250425100010458,1,83441,S
20250425100010457,9,33909,B
20250425100010456,6,33256,B
20250425100010455,0,76720,S
20250425100010454,6,50196,B
20250425100010453,4,79724,S
20250425100010452,8,30068,B
20250425100010451,5,62055,B
20250425100010450,3,25113,S
20250425100010449,2,37892,S
20250425100010448,4,54264,S
20250425100010447,7,20137,B
20250425100010446,7,26737,B
20250425100010445,3,68563,S
20250425100010444,1,14421,S
